"o.sites","year","cheatgrass","sagebrush","Feb.minT","AprMay.maxT","pres.j1","pres.j2","pres.j3","observer.j1","observer.j2","observer.j3"
1,2015,13.9,2,-6.7,31.1,0,0,0,"tech.1","tech.2","tech.1"
2,2015,12.2,0.9,-6.7,31.1,0,0,0,"tech.4","tech.3","tech.4"
3,2015,11.8,20.6,-6.7,31.1,0,0,0,"tech.3","tech.1","tech.4"
4,2015,16.8,0.6,-6.7,31.1,0,0,0,"tech.2","tech.4","tech.4"
5,2015,12,1.1,-6.7,31.1,0,0,0,"tech.2","tech.2","tech.1"
6,2015,29,2.4,-6.7,31.1,0,0,0,"tech.3","tech.2","tech.4"
7,2015,8.9,0,-6.7,31.1,0,0,0,"tech.3","tech.4","tech.3"
8,2015,8.3,2.8,-6.7,31.1,1,0,0,"tech.1","tech.2","tech.4"
9,2015,15.4,0.3,-6.7,31.1,0,0,0,"tech.4","tech.2","tech.1"
10,2015,10.1,2.2,-6.7,31.1,1,0,0,"tech.1","tech.1","tech.1"
11,2015,3.7,5,-6.7,31.1,1,0,1,"tech.1","tech.2","tech.1"
12,2015,13.3,13.3,-6.7,31.1,0,0,0,"tech.2","tech.4","tech.3"
13,2015,10.7,0,-6.7,31.1,0,0,0,"tech.2","tech.1","tech.1"
14,2015,11.2,8.3,-6.7,31.1,1,1,1,"tech.2","tech.1","tech.1"
15,2015,16.3,5.7,-6.7,31.1,0,0,1,"tech.1","tech.3","tech.3"
16,2015,5.4,0.3,-6.7,31.1,0,0,0,"tech.4","tech.1","tech.2"
17,2015,14.8,4.7,-6.7,31.1,0,1,1,"tech.1","tech.2","tech.1"
18,2015,9.3,4.4,-6.7,31.1,1,1,1,"tech.1","tech.1","tech.3"
19,2015,11.1,1.1,-6.7,31.1,0,0,0,"tech.4","tech.2","tech.2"
20,2015,6.4,0.9,-6.7,31.1,0,0,0,"tech.4","tech.4","tech.4"
21,2015,8.7,4.5,-6.7,31.1,0,1,0,"tech.2","tech.3","tech.1"
22,2015,4.5,0,-6.7,31.1,0,1,0,"tech.2","tech.2","tech.3"
23,2015,10.6,4,-6.7,31.1,0,0,0,"tech.1","tech.2","tech.1"
24,2015,16.7,0.8,-6.7,31.1,0,0,0,"tech.3","tech.1","tech.2"
25,2015,14,7.9,-6.7,31.1,0,0,0,"tech.3","tech.3","tech.2"
